,Word,Count,Weight,Weight_Abs
8610,fluvoxamine,28,2.475213717271461,2.475213717271461
3297,hrt,177,-2.4664287053378438,2.4664287053378438
8102,whiteheads,31,-2.4664287053378438,2.4664287053378438
8166,woman's,31,-2.4664287053378438,2.4664287053378438
2193,gout,352,2.4615743241781423,2.4615743241781423
9718,neurotoxic,21,2.4608249798193613,2.4608249798193613
4687,pregnancies,93,-2.4552554047397184,2.4552554047397184
11575,corrupt,15,2.438846073100586,2.438846073100586
3989,psa,128,2.438846073100586,2.438846073100586
8670,goiter,27,-2.432527153662162,2.432527153662162
1663,tamoxifen,521,-2.432527153662162,2.432527153662162
4192,rogaine,116,2.4264235531020293,2.4264235531020293
5899,risperidone,59,2.422845731754145,2.422845731754145
5671,eyelashes,64,-2.4151354109502927,2.4151354109502927
10467,progest,18,-2.411881259038615,2.411881259038615
10896,buddy,17,2.4011057451177393,2.4011057451177393
7958,hyperplasia,33,-2.397435833850892,2.397435833850892
3887,semen,133,2.3890136993527102,2.3890136993527102
10818,cardioversion,17,2.381687659260637,2.381687659260637
10035,crystals,20,2.381687659260637,2.381687659260637
1771,hormonal,478,-2.3610681896800174,2.3610681896800174
9603,peroid,22,-2.3610681896800174,2.3610681896800174
6007,abortion,57,-2.3610681896800174,2.3610681896800174
1292,progesterone,772,-2.359523787828643,2.359523787828643
1145,estrogen,935,-2.3588209977231123,2.3588209977231123
8829,tubal,26,-2.32332786169717,2.32332786169717
9271,pleasurable,24,2.3210630374442025,2.3210630374442025
12060,floxin,14,2.3210630374442025,2.3210630374442025
8956,midazolam,25,2.3210630374442025,2.3210630374442025
11867,mastic,14,2.3210630374442025,2.3210630374442025
12399,pmr,13,2.3210630374442025,2.3210630374442025
9231,kapidex,24,2.3210630374442025,2.3210630374442025
10496,xyzal,18,2.3210630374442025,2.3210630374442025
5933,jesus,59,2.3210630374442025,2.3210630374442025
5132,progestin,78,-2.3104244568612624,2.3104244568612624
3308,metrogel,176,-2.3104244568612624,2.3104244568612624
6076,brownish,56,-2.3039097758400686,2.3039097758400686
3904,miscarriage,132,-2.30110472491246,2.30110472491246
866,breasts,1413,-2.2950276938905496,2.2950276938905496
12349,liners,13,-2.2841071485438893,2.2841071485438893
723,depo,1819,-2.2841071485438893,2.2841071485438893
8925,carbonation,26,-2.2841071485438893,2.2841071485438893
4906,estradiol,85,-2.2841071485438893,2.2841071485438893
7641,aromatase,35,-2.2841071485438893,2.2841071485438893
2778,gyno,241,-2.2800991271463498,2.2800991271463498
10959,pause,17,-2.259814455974844,2.259814455974844
10446,plates,18,2.2565245163066314,2.2565245163066314
10139,wakeup,19,2.2565245163066314,2.2565245163066314
9066,adhesions,25,-2.2432851540236336,2.2432851540236336
10970,sooooooo,17,-2.2432851540236336,2.2432851540236336
8892,biopsies,26,-2.2432851540236336,2.2432851540236336
534,breast,2699,-2.234916904353117,2.234916904353117
7986,triglicerides,32,2.2340516604545733,2.2340516604545733
12468,ccb,13,2.2340516604545733,2.2340516604545733
11691,illicit,14,2.2340516604545733,2.2340516604545733
8062,soooooo,32,-2.2222317448258013,2.2222317448258013
4832,tobacco,87,2.2187841883237844,2.2187841883237844
9838,anxiolytic,21,2.2157025217863757,2.2157025217863757
