,Word,Count,Weight,Weight_Abs
12226,tia's,13,0.0,0.0
9293,tailbone,24,0.0,0.0
12227,felodipine,13,0.0,0.0
9900,levofloxacin,21,0.0,0.0
11598,solodyn,15,0.0,0.0
9927,york,21,0.0,0.0
10491,ovral,18,0.0,0.0
11515,orthro,15,0.0,0.0
4354,novum,108,0.0,0.0
5943,cervix,58,0.0,0.0
10125,ponstel,20,0.0,0.0
5487,postpartum,69,0.0,0.0
11398,nasalcrom,15,0.0,0.0
9818,maois,21,0.0,0.0
10135,cdiff,19,0.0,0.0
5494,seasonique,68,0.0,0.0
9334,peridex,23,0.0,0.0
11750,tequin,14,0.0,0.0
5495,prostatitis,68,0.0,0.0
1929,seasonale,429,0.0,0.0
5499,diamox,68,0.0,0.0
7955,fms,33,0.0,0.0
9100,gynocologist,25,0.0,0.0
12358,tysabri,13,0.0,0.0
9809,dopamax,21,0.0,0.0
11357,bc's,15,0.0,0.0
11356,nauseaous,15,0.0,0.0
1914,trinessa,432,0.0,0.0
11350,ferritin,15,0.0,0.0
9805,uroxatral,21,0.0,0.0
6984,clarinex,42,0.0,0.0
11755,rx's,14,0.0,0.0
11349,preggers,15,0.0,0.0
11347,vulvar,15,0.0,0.0
11325,hairdresser,15,0.0,0.0
8339,mevacor,30,0.0,0.0
10117,treximet,20,0.0,0.0
11405,sweeteners,15,0.0,0.0
12136,starbucks,13,0.0,0.0
12343,tourette's,13,0.0,0.0
11697,midol,14,0.0,0.0
10032,gynecomastia,20,0.0,0.0
11500,wellbutin,15,0.0,0.0
10037,azurette,20,0.0,0.0
6962,msm,42,0.0,0.0
2408,pcos,303,0.0,0.0
11719,naproxin,14,0.0,0.0
11487,effient,15,0.0,0.0
12298,ductal,13,0.0,0.0
12304,tonsilitis,13,0.0,0.0
8468,john's,29,0.0,0.0
11461,carbatrol,15,0.0,0.0
11727,doryx,14,0.0,0.0
6824,mris,44,0.0,0.0
11451,germany,15,0.0,0.0
11445,alvesco,15,0.0,0.0
12320,wbxl,13,0.0,0.0
10089,iwas,20,0.0,0.0
6792,stevens,44,0.0,0.0
12329,pedicure,13,0.0,0.0
12331,zertec,13,0.0,0.0
11735,chicago,14,0.0,0.0
9115,hooray,25,0.0,0.0
2498,micronor,288,0.0,0.0
6197,junel,54,0.0,0.0
11740,hurray,14,0.0,0.0
8635,opana,28,0.0,0.0
11413,astepro,15,0.0,0.0
12310,diane,13,0.0,0.0
3154,sprintec,192,0.0,0.0
11650,wellburtin,15,0.0,0.0
10658,marinol,18,0.0,0.0
9508,estrogens,22,0.0,0.0
8870,egd,26,0.0,0.0
7138,aygestin,40,0.0,0.0
10824,aredia,17,0.0,0.0
10911,lymphedema,17,0.0,0.0
12003,roxicodone,14,0.0,0.0
10785,lorcet,17,0.0,0.0
7086,lexipro,41,0.0,0.0
6600,tearfulness,47,0.0,0.0
10738,nitrofur,17,0.0,0.0
4889,kariva,85,0.0,0.0
11985,janssen,14,0.0,0.0
10731,pregnacy,17,0.0,0.0
5823,vivelle,61,0.0,0.0
8874,cenestin,26,0.0,0.0
10601,bonviva,18,0.0,0.0
9511,snris,22,0.0,0.0
9539,tricyclin,22,0.0,0.0
9439,prostrate,23,0.0,0.0
10914,hashimotos,17,0.0,0.0
12028,cohosh,14,0.0,0.0
10641,proair,18,0.0,0.0
7118,sjogren's,41,0.0,0.0
7620,armidex,36,0.0,0.0
5798,hotflashes,61,0.0,0.0
6083,parenthood,56,0.0,0.0
5787,md's,62,0.0,0.0
6535,wxl,48,0.0,0.0
12474,bdd,13,0.0,0.0
10598,bristol,18,0.0,0.0
8868,penile,26,0.0,0.0
10628,xmas,18,0.0,0.0
8205,avonex,31,0.0,0.0
5850,birthcontrol,60,0.0,0.0
7068,wbc,41,0.0,0.0
12494,lobular,13,0.0,0.0
11964,endometrioma,14,0.0,0.0
12027,virgin,14,0.0,0.0
10936,david,17,0.0,0.0
5803,levitra,61,0.0,0.0
9462,conceiving,23,0.0,0.0
10790,taxotere,17,0.0,0.0
10901,gynaecologist,17,0.0,0.0
10675,ekg's,18,0.0,0.0
8828,levlen,26,0.0,0.0
3545,uti's,156,0.0,0.0
3513,christmas,159,0.0,0.0
9535,embrel,22,0.0,0.0
3168,evra,190,0.0,0.0
10865,cushing's,17,0.0,0.0
12046,prostap,14,0.0,0.0
10770,flulike,17,0.0,0.0
12484,sibo,13,0.0,0.0
6458,necon,49,0.0,0.0
9442,arimedex,23,0.0,0.0
8899,iraq,26,0.0,0.0
8111,prempro,31,0.0,0.0
10714,hystorectomy,17,0.0,0.0
11951,megace,14,0.0,0.0
6432,balziva,50,0.0,0.0
4977,tampons,83,0.0,0.0
8562,ppd,28,0.0,0.0
10560,nrt,18,0.0,0.0
10782,dessicated,17,0.0,0.0
8906,vimpat,26,0.0,0.0
10506,lee's,18,0.0,0.0
5844,thanksgiving,61,0.0,0.0
10587,zeneca,18,0.0,0.0
10673,iih,18,0.0,0.0
3411,fosamax,167,0.0,0.0
6560,perimenopausal,48,0.0,0.0
4915,partum,84,0.0,0.0
10669,pliva,18,0.0,0.0
10860,marvelon,17,0.0,0.0
19,with,82215,0.0002867186016085233,0.0002867186016085233
2586,counteract,274,-0.00029215823183356275,0.00029215823183356275
12181,quench,13,0.0004594389474784803,0.0004594389474784803
7583,exacerbate,36,0.0004594389474784803,0.0004594389474784803
7162,pigs,40,0.0004594389474784803,0.0004594389474784803
7305,cultures,38,0.0004594389474784803,0.0004594389474784803
9823,tablespoon,21,0.0004594389474784803,0.0004594389474784803
7131,harmed,40,0.0004594389474784803,0.0004594389474784803
7279,dirt,39,-0.0006919716575633395,0.0006919716575633395
162,little,10592,-0.0007262984659458068,0.0007262984659458068
8206,tan,31,0.0007620871212892915,0.0007620871212892915
7766,li,34,-0.0007666728796970507,0.0007666728796970507
3561,offer,155,0.0007783673507560675,0.0007783673507560675
448,flu,3510,-0.0008600675180306651,0.0008600675180306651
2285,pull,332,-0.0010275501740996532,0.0010275501740996532
9380,epi,23,-0.0010308658168997628,0.0010308658168997628
7144,kit,40,-0.001048477900198419,0.001048477900198419
1777,led,476,0.001057829609443871,0.001057829609443871
8475,ar,29,-0.0010649190161414815,0.0010649190161414815
1067,top,1064,-0.0011618523870626555,0.0011618523870626555
198,many,8848,-0.0011915137543721407,0.0011915137543721407
1714,growth,502,-0.001210010522062559,0.001210010522062559
5684,cereal,64,-0.0013246828460228078,0.0013246828460228078
5156,insists,77,-0.0013246828460228078,0.0013246828460228078
5835,attend,61,-0.0013246828460228078,0.0013246828460228078
2450,intolerable,296,-0.0013246828460228078,0.0013246828460228078
201,worked,8742,-0.0013691440869433326,0.0013691440869433326
3910,purple,132,0.001480368081585895,0.001480368081585895
398,light,3979,-0.0015232364599690952,0.0015232364599690952
4305,commit,110,-0.0015449714249508655,0.0015449714249508655
2016,current,401,0.0016078161466719521,0.0016078161466719521
2448,forehead,297,0.001751150644843285,0.001751150644843285
25,at,53846,-0.001837571015694291,0.001837571015694291
4618,de,96,-0.001840720656530365,0.001840720656530365
285,sometimes,5758,-0.0018856161324120027,0.0018856161324120027
1164,u,911,-0.0018910410850073338,0.0018910410850073338
3141,afterward,193,-0.0019186834574888851,0.0019186834574888851
8501,ma,28,-0.0019228045027940058,0.0019228045027940058
7,of,177415,-0.0020001421210926896,0.0020001421210926896
12135,mor,13,-0.002310596648657899,0.002310596648657899
4517,confirm,100,-0.002356142452685053,0.002356142452685053
2975,heck,213,0.0027034371963244614,0.0027034371963244614
9367,abs,23,0.0027183059572066523,0.0027183059572066523
2767,directions,243,-0.00283184213659413,0.00283184213659413
2692,shame,258,-0.002913245531160631,0.002913245531160631
10979,ance,17,-0.0029592265593964863,0.0029592265593964863
847,risk,1453,0.0031037772005688335,0.0031037772005688335
858,friends,1438,0.003137279272675289,0.003137279272675289
4513,shoot,101,-0.003161230653324297,0.003161230653324297
3828,sheet,137,0.003210472319368513,0.003210472319368513
8211,twin,31,0.003210472319368513,0.003210472319368513
2489,amazed,289,0.003210472319368513,0.003210472319368513
6498,exaggerated,49,0.003210472319368513,0.003210472319368513
2863,conversations,230,0.003210472319368513,0.003210472319368513
6703,stabilizers,46,0.003210472319368513,0.003210472319368513
12124,divide,13,0.003210472319368513,0.003210472319368513
290,hard,5640,-0.003247412571519599,0.003247412571519599
6653,sing,46,0.003281608723453212,0.003281608723453212
528,overall,2739,-0.003313133567840695,0.003313133567840695
11918,nest,14,-0.003314342878322185,0.003314342878322185
9731,ther,21,-0.003342563703741693,0.003342563703741693
7840,interests,34,-0.0035009622686183774,0.0035009622686183774
1378,paranoid,697,-0.0035009622686183774,0.0035009622686183774
5672,heaves,64,-0.0035009622686183774,0.0035009622686183774
4626,bringing,96,-0.0035009622686183774,0.0035009622686183774
8072,induces,32,-0.0035009622686183774,0.0035009622686183774
2299,nightly,328,-0.0035009622686183774,0.0035009622686183774
7923,sensible,33,-0.0035009622686183774,0.0035009622686183774
7821,irresponsible,34,-0.0035009622686183774,0.0035009622686183774
3755,parnate,143,-0.0035009622686183774,0.0035009622686183774
8751,aerobic,27,-0.0035009622686183774,0.0035009622686183774
5481,animals,69,-0.0035009622686183774,0.0035009622686183774
3312,disturbed,175,-0.0035009622686183774,0.0035009622686183774
1309,clearly,758,0.0035150717734444455,0.0035150717734444455
3087,mark,199,-0.0036125818691360953,0.0036125818691360953
791,rapid,1610,-0.0037832487913115106,0.0037832487913115106
1236,soreness,823,0.0039057375910661464,0.0039057375910661464
1349,relieve,726,0.003949843887246997,0.003949843887246997
3542,fatty,156,0.003949843887246997,0.003949843887246997
1530,pleased,597,-0.004021524487557497,0.004021524487557497
800,nervous,1577,-0.004028631959642917,0.004028631959642917
2065,act,387,-0.004094587621326425,0.004094587621326425
3114,door,197,0.004148118895331969,0.004148118895331969
127,two,14167,0.004159886187501695,0.004159886187501695
43,or,37497,-0.004188636399289502,0.004188636399289502
758,nights,1709,-0.004200568768513374,0.004200568768513374
4712,sets,92,-0.0042134667519137855,0.0042134667519137855
280,bed,5954,0.004241381038630153,0.004241381038630153
100,than,19090,0.004387587711105695,0.004387587711105695
159,year,10941,0.004491702475417099,0.004491702475417099
1343,imagine,729,0.004491702475417099,0.004491702475417099
123,well,14884,0.004522135713552689,0.004522135713552689
1906,afterwards,433,0.004540436606375299,0.004540436606375299
2545,walked,281,-0.004629630559992738,0.004629630559992738
3823,rn,137,0.004678547555723947,0.004678547555723947
115,dose,16383,-0.00474516016085464,0.00474516016085464
415,asleep,3864,0.004772841858506437,0.004772841858506437
4075,blocks,123,-0.004778917714110341,0.004778917714110341
3922,survive,132,0.004779100091995071,0.004779100091995071
282,three,5849,0.004979713271209265,0.004979713271209265
1729,numerous,495,0.005034874193704023,0.005034874193704023
218,prescribed,8033,0.005041609030387649,0.005041609030387649
8880,ti,26,-0.005049479191979041,0.005049479191979041
458,x,3379,-0.005111442453505079,0.005111442453505079
678,suffered,1992,-0.0051219708907165795,0.0051219708907165795
455,thinking,3407,-0.005204540193402259,0.005204540193402259
2591,outbreaks,272,0.005232717700136351,0.005232717700136351
6073,graduated,56,0.005232717700136351,0.005232717700136351
6185,administering,54,0.005232717700136351,0.005232717700136351
12043,automatic,14,0.005232717700136351,0.005232717700136351
4406,holistic,106,0.005232717700136351,0.005232717700136351
9069,alien,25,0.005232717700136351,0.005232717700136351
4565,uncontrolable,98,-0.0052385821671591315,0.0052385821671591315
262,noticed,6458,-0.005300654587959189,0.005300654587959189
67,years,25440,0.005303411560403908,0.005303411560403908
1370,basis,708,0.005497232977435661,0.005497232977435661
1398,mania,683,0.005553693469221603,0.005553693469221603
6657,spin,46,-0.0055552549939993055,0.0055552549939993055
4458,fed,103,-0.005619607128903554,0.005619607128903554
3864,mirror,135,-0.005619607128903554,0.005619607128903554
1579,simple,572,0.00569450482448194,0.00569450482448194
2308,resolved,326,0.005792784922841175,0.005792784922841175
948,ability,1266,0.005829046039143667,0.005829046039143667
786,concentrate,1628,0.005899162243296673,0.005899162243296673
10311,ew,19,-0.005907063307461127,0.005907063307461127
694,stress,1940,0.005944208302900252,0.005944208302900252
3623,la,150,0.005949925820663095,0.005949925820663095
3267,aging,180,-0.006013075558138869,0.006013075558138869
2533,tab,283,0.006037170780329686,0.006037170780329686
1369,round,709,0.006055424451599787,0.006055424451599787
330,pains,4903,-0.006104960875655182,0.006104960875655182
959,initial,1244,-0.006214668140214603,0.006214668140214603
4229,battling,114,-0.006214668140214603,0.006214668140214603
2888,dealt,226,-0.006214668140214603,0.006214668140214603
6045,releif,57,-0.006214668140214603,0.006214668140214603
6493,flesh,49,-0.006214668140214603,0.006214668140214603
4197,whose,115,-0.006214668140214603,0.006214668140214603
94,weeks,19677,-0.006308215384982419,0.006308215384982419
158,long,10945,0.0063993808071604276,0.0063993808071604276
1923,testing,430,-0.006419607171570248,0.006419607171570248
3172,stretch,190,0.006549373584883186,0.006549373584883186
5785,assist,62,-0.006558133711167953,0.006558133711167953
5540,blistering,67,0.006781904686965656,0.006781904686965656
3785,painkillers,141,-0.006839863534132963,0.006839863534132963
9495,es,22,-0.0070030348624131825,0.0070030348624131825
167,while,10368,0.0070492486265340965,0.0070492486265340965
358,constipation,4440,-0.007128006455014394,0.007128006455014394
749,suffer,1742,0.007239125932857297,0.007239125932857297
3428,numbing,166,-0.007274551652257849,0.007274551652257849
2556,ton,279,0.0073200671442880194,0.0073200671442880194
4084,shed,122,0.007417387334710615,0.007417387334710615
4007,rescue,127,0.0074281082635718155,0.0074281082635718155
7226,stressing,39,0.0074281082635718155,0.0074281082635718155
1294,com,771,0.007454320643989035,0.007454320643989035
812,die,1549,-0.007477110648257727,0.007477110648257727
3880,special,134,-0.0074975419531037825,0.0074975419531037825
10247,sympton,19,0.007548873917966666,0.007548873917966666
3874,table,134,0.007649017305172803,0.007649017305172803
1587,manage,566,0.007658030321007757,0.007658030321007757
1044,mean,1105,-0.007675476457499947,0.007675476457499947
24,after,54408,0.007681254526965211,0.007681254526965211
2370,overnight,313,-0.007682881588515274,0.007682881588515274
2025,spine,400,0.007820649976168954,0.007820649976168954
356,believe,4476,-0.007878777393943963,0.007878777393943963
2397,salt,305,0.007883378018760889,0.007883378018760889
1531,lightheaded,597,0.007933031273541965,0.007933031273541965
7911,dressing,33,0.008006644582861532,0.008006644582861532
3849,suppressed,136,0.008006644582861532,0.008006644582861532
2865,warfarin,230,0.008006644582861532,0.008006644582861532
5517,bloodstream,68,0.008006644582861532,0.008006644582861532
5459,hates,69,0.008006644582861532,0.008006644582861532
1936,co,427,0.008013693744892308,0.008013693744892308
871,name,1403,-0.00819030263200446,0.00819030263200446
11150,ou,16,-0.00820319767972294,0.00820319767972294
1170,coughing,897,-0.008279504719392436,0.008279504719392436
11075,bb,16,-0.008279504719392436,0.008279504719392436
1510,moment,611,-0.00832024870456723,0.00832024870456723
3673,forms,148,-0.008429508469767455,0.008429508469767455
1562,mistake,580,-0.008429508469767455,0.008429508469767455
3957,perscription,130,0.008527613596988792,0.008527613596988792
1601,biggest,558,0.00859783585044968,0.00859783585044968
7749,dis,34,-0.008718469110776549,0.008718469110776549
